date4,predict,open_base_SPX5004,open_base_SPX5004,BUYPriceByPrediction,BUYPriceByPredictionAndClose,BUYPriceByPredictionDiff,RESULT OF BUY,SUM
2021-12-31 20:00:00,-0.013334274291992188,4781.4,4787.2,,,,,
2021-12-31 20:30:00,0.0012970790266990662,4787.2,4771.8,,,0.0,,0.0
2021-12-31 21:00:00,0.08955124020576477,4771.8,4774.9,,,0.0,,0.0
2021-12-31 21:30:00,-0.007507972419261932,4774.9,4774.9,,,0.0,,0.0
2022-01-02 22:00:00,0.0041184499859809875,4774.9,4774.9,,,0.0,,0.0
2022-01-02 22:30:00,0.0062473975121974945,4774.9,4787.8,,,0.0,,0.0
2022-01-02 23:00:00,0.00995788723230362,4787.8,4787.6,,,0.0,,0.0
2022-01-02 23:30:00,-0.0060942694544792175,4787.6,4787.3,,,0.0,,0.0
2022-01-03 00:00:00,-0.017255060374736786,4787.3,4791.7,,,0.0,,0.0
2022-01-03 00:30:00,-0.0012066736817359924,4791.7,4795.5,,,0.0,,0.0
2022-01-03 01:00:00,0.012817800045013428,4795.5,4795.6,4795.6,,4795.6,,0.0
2022-01-03 01:30:00,0.009433262050151825,4795.6,4790.2,,4790.2,-4795.6,-5.400000000000546,-5.400000000000546
2022-01-03 02:00:00,-0.4364195466041565,4790.2,4790.0,,,0.0,,-5.400000000000546
2022-01-03 02:30:00,0.8282994627952576,4790.0,4791.8,4791.8,,4791.8,,-5.400000000000546
2022-01-03 03:00:00,-0.00018627196550369263,4791.8,4791.0,,4791.0,-4791.8,-0.8000000000001819,-6.200000000000728
2022-01-03 03:30:00,-0.002404928207397461,4791.0,4790.6,,,0.0,,-6.200000000000728
2022-01-03 04:00:00,-0.001161135733127594,4790.6,4790.1,,,0.0,,-6.200000000000728
2022-01-03 04:30:00,0.001051478087902069,4790.1,4790.8,,,0.0,,-6.200000000000728
2022-01-03 05:00:00,0.00937173143029213,4790.8,4790.1,,,0.0,,-6.200000000000728
2022-01-03 05:30:00,-0.0008432045578956604,4790.1,4790.8,,,0.0,,-6.200000000000728
2022-01-03 06:00:00,0.007204469293355942,4790.8,4788.1,,,0.0,,-6.200000000000728
2022-01-03 06:30:00,0.0039461106061935425,4788.1,4789.1,,,0.0,,-6.200000000000728
2022-01-03 07:00:00,-0.017497196793556213,4789.1,4785.8,,,0.0,,-6.200000000000728
2022-01-03 07:30:00,-0.0040280744433403015,4785.8,4789.1,,,0.0,,-6.200000000000728
